people_id,party,role,name
12497,R,Sen,Bill Holtzclaw
3437,R,Rep,Phil Williams
14389,D,Rep,Andrew Josephson
14393,D,Rep,Geran Tarr
20962,D,Sen,Elvi Gray-Jackson
6075,D,Sen,William Wielechowski
6052,D,Sen,Scott Kawasaki
6045,D,Rep,Leslie Gara
6069,D,Rep,Bob Herron
6065,D,Rep,Bryce Edgmon
6043,R,Rep,Charisse Millett
6034,R,Rep,Robert Lynn
6054,R,Rep,Kurt Olson
6063,R,Rep,Mark Neuman
6058,D,Rep,David Guttenberg
17251,R,Rep,Louise Stutes
6064,R,Sen,Anna Fairclough MacKinnon
21610,,Sen,Labor & Commerce
6060,R,Rep,Peggy Wilson
11299,R,Rep,Eric Feige
14388,R,Rep,Shelley Hughes
11587,R,Rep,Steve Thompson
15010,R,Rep,Doug Isaacson
11277,R,Rep,Dan Saddler
14390,R,Rep,Gabrielle LeDoux
6042,R,Rep,Craig Johnson
11301,R,Rep,Mia Costello
6084,R,Sen,Frederick Dyson
22218,R,Rep,Ken McCarty
6087,R,Sen,Lesil McGuire
22866,D,Rep,Liz Snyder
18610,R,Rep,George Rauscher
21272,R,Rep,Sarah Vance
14386,D,Rep,Harriet Drummond
6046,D,Rep,Chris Tuck
21262,D,Rep,Grier Hopkins
22858,R,Rep,Ron Gillham
22857,R,Rep,Mike Cronk
22861,R,Rep,Kevin McCabe
21271,D,Rep,Andrea Story
19096,R,Rep,DeLena Johnson
22762,R,Sen,Roger Holland
15281,R,Sen,Peter Micciche
14392,R,Sen,Lora Reinbold
19596,R,Sen,Mike Shower
6093,R,Sen,Gary Stevens
21270,R,Sen,Josh Revak
6091,R,Sen,Kevin Meyer
6081,R,Sen,Linda Menard
6077,D,Sen,Joe Thomas
6047,R,Rep,Cathy Munoz
6039,R,Rep,Charles Chenault
11358,R,Sen,Catherine Giessel
6086,D,Sen,Kim Elton
17252,R,Rep,David Talerico
