Vote ID,Bill ID,Yae,Nay,Absent,Not Voting,Result
f2cfbcf5-e121-4a5d-87cf-d6afc5e99fdd,ocd-bill/399048a7-f123-4807-b516-b7aa25deccb5,29,8,0,2,pass
811c8ef8-68a2-4670-a904-b6bc05f3e33b,ocd-bill/89fd988a-2293-47af-b557-3a35f8665101,11,0,0,0,pass
235c4cfc-fc7c-4a08-9a36-f95996d90222,ocd-bill/a5ad445a-d20b-4c63-bfaa-cfa943e2bea4,12,10,0,0,pass
07ecf65b-5d1f-4a9b-8003-1b36743cdb3f,ocd-bill/b89ca146-b7dd-4e28-973e-4056be358d2a,22,0,0,0,pass
525f1b9b-b4aa-41ff-94ce-59cb96010a9e,ocd-bill/603ab444-799f-4211-a101-ed1735aecd34,5,0,0,0,pass
611c0e87-efd3-4091-a2b3-94aa04c8d8ce,ocd-bill/c137b80b-51dc-4f97-8239-8fbf7ed765ed,5,0,0,0,pass
42e0a5ed-c389-4f10-96a6-4def3af7b23f,ocd-bill/48985fec-a91b-438c-befa-7a41cab89007,4,0,0,1,pass
52bc9010-02b5-413b-908a-f9ce986a68e9,ocd-bill/1e0138b3-8698-4069-bf9a-c620054837ba,4,0,0,1,pass
834546da-7af6-4f55-8c25-ceb0e3ab6e40,ocd-bill/eee7f75b-1f74-4982-9355-6a99e28717c7,7,0,0,1,pass
20f8369d-de8f-4ff7-a1cc-42374ce7fce5,ocd-bill/4f40c801-61d5-4e1a-8d70-adfb86b23396,6,0,0,2,pass
4ad0858a-a0c9-47ac-a3ef-8e1b4d51f87d,ocd-bill/206b164d-c483-43f3-a9f3-55e139aa2ed8,5,0,0,3,pass
3fe8a657-cc59-4b55-bafc-6301906033fe,ocd-bill/c7982494-4383-4a74-a9ec-637d4792dc2c,8,0,0,0,pass
67df28a9-4ae6-453b-b475-4b3655861465,ocd-bill/aa65e345-7960-4d5d-9eea-0dec61adbc76,12,0,0,0,pass
e9a48c12-4bb3-4b78-b070-a223856981be,ocd-bill/7aec5040-4ec6-4e11-a438-948089d79cb8,13,0,0,2,pass
4691e9b7-3571-4aca-ac7b-521d3265bdd1,ocd-bill/6cf056ed-08b9-420c-9498-12e7e740f2e0,10,3,0,2,pass
7381a255-6a74-440a-a64f-c2ebab4f04a1,ocd-bill/85a7b056-bc82-45d5-b92d-0be7f1504e43,56,18,0,5,pass
e6858f54-660e-4468-8725-7bc60270896d,ocd-bill/2fc3b24f-d55a-4718-a70e-be8f6fa736d4,4,3,0,0,pass
79b3a1c7-861e-4856-ac93-ef9436bf6b49,ocd-bill/c6aeb80d-69d4-4228-bf0f-8acf693a1f7d,8,0,0,3,pass
ba006887-136f-4d6e-ba40-12e6cbdd5c9e,ocd-bill/9846c35d-e14f-49ea-8027-9a35456234ef,8,7,0,0,pass
598ddebc-c977-486d-bdbb-a6ee2ac4392d,ocd-bill/18ba2cf1-56f0-424c-912d-0f11daf53e72,5,0,0,0,pass
5c96b5d1-de87-479b-86b0-0fa447b62c13,ocd-bill/036862bb-ef86-4c77-a982-2df6d89f37b0,4,0,0,1,pass
